Date,CDS,Spread,Maturity,End Matruty,Z-Spread
01-01-2020,0.063529559,0.739444687,28-02-2020,03-03-2020,0.50%
02-01-2020,0.23517229,0.31411557,29-02-2020,04-03-2020,0.50%
03-01-2020,0.427168407,0.629200771,01-03-2020,05-03-2020,0.50%
04-01-2020,0.721695742,0.744658453,02-03-2020,06-03-2020,0.50%
05-01-2020,0.654203187,0.192585922,03-03-2020,07-03-2020,0.50%
06-01-2020,0.485767026,0.198193913,04-03-2020,08-03-2020,0.50%
07-01-2020,0.570159203,0.395253998,05-03-2020,09-03-2020,0.50%
08-01-2020,0.098157769,0.141341748,06-03-2020,10-03-2020,0.50%
09-01-2020,0.786320447,0.005459755,07-03-2020,11-03-2020,0.50%
10-01-2020,0.348298466,0.548716563,08-03-2020,12-03-2020,0.50%
11-01-2020,0.739729254,0.326326995,09-03-2020,13-03-2020,0.50%
12-01-2020,0.07820443,0.243672567,10-03-2020,14-03-2020,0.50%
13-01-2020,0.892846762,0.252658718,11-03-2020,15-03-2020,0.50%
14-01-2020,0.181363882,0.126418794,12-03-2020,16-03-2020,0.50%
15-01-2020,0.84262788,0.190714667,13-03-2020,17-03-2020,0.50%
16-01-2020,0.684130154,0.259879559,14-03-2020,18-03-2020,0.50%
17-01-2020,0.971472595,0.549520708,15-03-2020,19-03-2020,0.50%
18-01-2020,0.203362435,0.420424024,16-03-2020,20-03-2020,0.50%
19-01-2020,0.570700454,0.03841186,17-03-2020,21-03-2020,0.50%
20-01-2020,0.110511904,0.701828512,18-03-2020,22-03-2020,0.50%
21-01-2020,0.459147687,0.530993428,19-03-2020,23-03-2020,0.50%
22-01-2020,0.282105505,0.767378967,20-03-2020,24-03-2020,0.50%
23-01-2020,0.377622821,0.677884637,21-03-2020,25-03-2020,0.50%
24-01-2020,0.443877606,0.436175966,22-03-2020,26-03-2020,0.50%
25-01-2020,0.157110897,0.785377324,23-03-2020,27-03-2020,0.50%
26-01-2020,0.250326374,0.909955003,24-03-2020,28-03-2020,0.50%
27-01-2020,0.581660679,0.112201434,25-03-2020,29-03-2020,0.50%
28-01-2020,0.606319001,0.114307998,26-03-2020,30-03-2020,0.50%
29-01-2020,0.682614173,0.176705261,27-03-2020,31-03-2020,0.50%
30-01-2020,0.94857307,0.870964067,28-03-2020,01-04-2020,0.50%
31-01-2020,0.555751567,0.372444019,29-03-2020,02-04-2020,0.50%
01-02-2020,0.928252994,0.108367087,30-03-2020,03-04-2020,0.50%
02-02-2020,0.159360503,0.807707626,31-03-2020,04-04-2020,0.50%
03-02-2020,0.421862463,0.000862924,01-04-2020,05-04-2020,0.50%
